time,weather,probe
2018-06-16 23:45,56.12,62.49
2018-06-17 00:15,55.67,62.83
2018-06-17 00:45,55.53,62.38
2018-06-17 01:15,55.9,62.71
2018-06-17 01:45,55.9,62.60
2018-06-17 02:15,55.8,62.26
2018-06-17 02:45,55.54,62.83
2018-06-17 03:15,55.4,62.94
2018-06-17 03:45,55.4,62.15
2018-06-17 04:15,55.4,62.49
2018-06-17 04:45,55.4,62.60
2018-06-17 05:15,55.27,62.15
2018-06-17 05:45,56.05,63.50
2018-06-17 06:15,56.08,62.94
2018-06-17 06:45,55.92,63.28
2018-06-17 07:16,55.92,63.28
2018-06-17 07:46,57.34,64.18
2018-06-17 08:16,58.64,63.95
2018-06-17 08:46,58.77,65.19
2018-06-17 09:16,61.32,66.43
2018-06-17 09:46,61.83,66.88
2018-06-17 10:16,63.37,68.90
2018-06-17 10:46,63.75,69.80
2018-06-17 11:16,64.11,70.36
2018-06-17 11:46,65.3,71.15
2018-06-17 12:16,67.21,72.50
2018-06-17 12:46,67.71,74.30
2018-06-17 13:16,69.8,77.11
2018-06-17 13:46,70.18,84.88
2018-06-17 14:16,70.81,86.34
2018-06-17 14:46,71.73,87.24
2018-06-17 15:16,72.75,85.66
2018-06-17 15:46,72.88,84.31
2018-06-17 16:16,73.27,81.95
2018-06-17 16:46,73.0,81.28
2018-06-17 17:17,72.5,79.36
2018-06-17 17:47,72.5,79.03
2018-06-17 18:17,70.83,78.91
2018-06-17 18:47,70.45,79.70
2018-06-17 19:17,69.17,79.93
2018-06-17 19:47,68.56,79.59
2018-06-17 20:17,66.49,77.56
2018-06-17 20:47,65.71,75.99
2018-06-17 21:17,63.3,72.95
2018-06-17 21:47,62.24,71.38
2018-06-17 22:17,61.74,68.79
2018-06-17 22:47,60.69,69.01
2018-06-17 23:17,59.97,67.89
2018-06-17 23:47,59.72,68.11
2018-06-18 00:17,58.87,65.30
2018-06-18 00:34,58.86,64.18
2018-06-18 00:47,58.73,63.61
2018-06-18 01:17,58.73,63.05
2018-06-18 01:47,58.42,63.05
2018-06-18 02:17,58.1,63.28
2018-06-18 02:47,57.83,63.16
2018-06-18 03:17,58.03,62.15
